# L1420-10mph (Up to date)
# 760 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (97.4 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.407e-4,-0.028,-2.81,0,0,0,NaN,0.504
0.02,0.003,0.559,55.95,0,0,0,NaN,0.504
0.03,0.014,1.707,114.731,0,0,0,NaN,0.503
0.04,0.04,3.437,173.041,0,0,0,NaN,0.502
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.416,197.98,0,0,0,NaN,0.499
0.06,0.148,7.443,202.714,0,0,0,NaN,0.496
0.07,0.233,9.517,207.451,0,0,0,NaN,0.492
0.08,0.339,11.638,212.19,0,0,0,NaN,0.487
0.09,0.466,13.807,216.931,0,0,0,NaN,0.482
0.1,0.615,16.023,221.675,0,0,0,NaN,0.477
0.11,0.787,18.287,226.421,0,0,0,NaN,0.472
0.12,0.981,20.598,231.17,0,0,0,NaN,0.468
0.13,1.199,22.947,234.947,0,0,0,NaN,0.463
0.14,1.44,25.298,235.176,0,0,0,NaN,0.459
0.15,1.705,27.649,235.08,0,0,0,NaN,0.455
0.16,1.993,29.998,234.984,0,0,0,NaN,0.451
0.17,2.305,32.346,234.887,0,0,0,NaN,0.448
0.18,2.64,34.694,234.788,0,0,0,NaN,0.444
0.19,2.999,37.04,234.689,0,0,0,NaN,0.441
0.2,3.381,39.386,234.588,0,0,0,NaN,0.441
0.21,3.787,41.73,234.486,0,0,0,NaN,0.441
0.22,4.216,44.073,234.383,0,0,0,NaN,0.441
0.23,4.668,46.416,234.279,0,0,0,NaN,0.441
0.24,5.144,48.757,234.175,0,0,0,NaN,0.441
0.25,5.643,51.097,234.069,0,0,0,NaN,0.441
0.26,6.166,53.436,233.963,0,0,0,NaN,0.442
0.27,6.712,55.774,233.857,0,0,0,NaN,0.442
0.28,7.281,58.111,233.749,0,0,0,NaN,0.442
0.29,7.874,60.447,233.642,0,0,0,NaN,0.442
0.3,8.49,62.782,233.533,0,0,0,NaN,0.442
0.31,9.13,65.116,233.423,0,0,0,NaN,0.442
0.32,9.793,67.449,233.313,0,0,0,NaN,0.442
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.479,69.78,233.202,0,0,0,NaN,0.442
0.345,11.552,73.276,233.085,3.314e-4,-180,0.044,2.24,0.442
0.368,13.259,78.514,232.907,0.002,-180,0.112,2.303,0.442
0.401,16.041,86.361,232.635,0.008,-180,0.213,2.392,0.442
0.451,20.65,97.963,232.214,0.022,-180,0.349,2.515,0.442
0.501,25.837,109.533,231.61,0.042,-180,0.446,2.632,0.442
0.551,31.603,121.12,231.934,0.065,-179.999,0.476,2.747,0.443
0.601,37.95,132.775,233.258,0.088,-179.999,0.408,2.864,0.443
0.651,44.882,144.494,234.533,0.104,-179.999,0.209,2.985,0.443
0.701,52.401,156.275,235.737,0.106,-179.998,0.156,3.111,0.444
0.751,60.511,168.115,236.84,0.085,-179.997,0.718,3.243,0.444
0.801,69.214,180.006,237.82,0.03,-179.988,1.506,3.379,0.444
0.851,78.513,191.943,238.66,0.07,-0.007,2.542,3.518,0.445
0.901,88.409,203.919,239.356,0.228,-0.003,3.84,3.464,0.445
0.951,98.905,215.925,239.922,0.458,-0.001,5.406,3.381,0.446
1.001,110.003,227.958,240.418,0.773,-9.254e-4,7.23,3.322,0.446
1.051,121.703,240.033,241.277,1.185,-5.877e-4,9.289,3.288,0.447
1.101,134.008,252.165,242.487,1.705,-3.549e-4,11.537,3.28,0.447
1.148,145.995,263.505,243.857,2.293,-1.921e-4,13.741,3.298,0.448
1.191,157.52,274.023,245.342,2.926,-7.181e-5,15.81,3.336,0.448
1.233,169.491,284.601,246.988,3.648,3.421e-5,17.855,3.394,0.449
1.28,183.087,296.241,248.933,4.535,1.412e-4,19.993,3.477,0.45
1.33,198.212,308.781,251.161,5.588,2.544e-4,22.09,3.585,0.45
1.38,213.968,321.436,253.437,6.739,3.7e-4,23.937,3.7,0.451
1.43,230.359,334.203,255.592,7.977,4.896e-4,25.507,3.623,0.452
1.48,247.39,347.072,257.553,9.286,6.184e-4,26.81,3.572,0.453
1.529,264.657,359.709,258.683,10.622,7.501e-4,27.882,3.555,0.454
1.567,278.294,369.343,257.496,11.68,8.542e-4,28.624,3.565,0.454
1.602,291.397,378.324,256.167,12.695,9.55e-4,29.314,3.594,0.455
1.638,305.452,387.677,254.699,13.784,0.001,30.09,3.644,0.456
1.683,322.873,398.89,252.809,15.141,0.001,31.172,3.723,0.456
1.733,343.131,411.433,250.377,16.735,0.001,32.661,3.814,0.457
1.783,364.013,423.844,247.691,18.412,0.002,34.463,3.755,0.458
1.833,385.512,436.122,245.103,20.186,0.002,36.537,3.725,0.459
1.869,401.682,445.054,243.217,21.556,0.002,38.161,3.728,0.46
1.902,416.362,452.965,241.923,22.828,0.002,39.619,3.75,0.461
1.936,431.947,461.178,240.902,24.204,0.002,41.091,3.791,0.462
1.979,451.772,471.374,239.951,25.988,0.002,42.777,3.86,0.463
2.029,475.639,483.297,238.557,28.17,0.002,44.465,3.898,0.464
2.079,500.098,495.078,235.615,30.428,0.002,45.819,3.859,0.465
2.121,521.259,504.92,232.447,32.388,0.003,46.777,3.852,0.466
2.154,537.941,512.456,229.656,33.934,0.003,47.477,3.869,0.466
2.187,555.321,520.106,226.926,35.544,0.003,48.23,3.904,0.467
2.231,578.036,529.799,223.426,37.654,0.003,49.34,3.969,0.468
