# L1420-5mph (Up to date)
# 751 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (96.5 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.407e-4,-0.028,-2.81,0,0,0,NaN,0.56
0.02,0.003,0.559,55.95,0,0,0,NaN,0.56
0.03,0.014,1.707,114.731,0,0,0,NaN,0.558
0.04,0.04,3.437,173.041,0,0,0,NaN,0.551
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.416,197.979,0,0,0,NaN,0.541
0.06,0.148,7.443,202.712,0,0,0,NaN,0.53
0.07,0.233,9.517,207.447,0,0,0,NaN,0.519
0.08,0.339,11.638,212.186,0,0,0,NaN,0.509
0.09,0.466,13.807,216.927,0,0,0,NaN,0.499
0.1,0.615,16.023,221.671,0,0,0,NaN,0.491
0.11,0.787,18.287,226.418,0,0,0,NaN,0.483
0.12,0.981,20.598,231.168,0,0,0,NaN,0.477
0.13,1.199,22.947,234.947,0,0,0,NaN,0.471
0.14,1.44,25.298,235.178,0,0,0,NaN,0.465
0.15,1.705,27.649,235.086,0,0,0,NaN,0.46
0.16,1.993,29.998,234.993,0,0,0,NaN,0.456
0.17,2.305,32.346,234.9,0,0,0,NaN,0.452
0.18,2.64,34.694,234.806,0,0,0,NaN,0.448
0.19,2.999,37.041,234.712,0,0,0,NaN,0.444
0.2,3.381,39.386,234.616,0,0,0,NaN,0.441
0.21,3.787,41.731,234.519,0,0,0,NaN,0.441
0.22,4.216,44.075,234.421,0,0,0,NaN,0.441
0.23,4.668,46.417,234.322,0,0,0,NaN,0.441
0.24,5.144,48.759,234.222,0,0,0,NaN,0.441
0.25,5.643,51.1,234.121,0,0,0,NaN,0.441
0.26,6.166,53.439,234.019,0,0,0,NaN,0.442
0.27,6.712,55.778,233.917,0,0,0,NaN,0.442
0.28,7.281,58.116,233.813,0,0,0,NaN,0.442
0.29,7.874,60.452,233.708,0,0,0,NaN,0.442
0.3,8.49,62.788,233.603,0,0,0,NaN,0.442
0.31,9.13,65.122,233.496,0,0,0,NaN,0.442
0.32,9.793,67.456,233.389,0,0,0,NaN,0.442
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.479,69.788,233.28,0,0,0,NaN,0.442
0.345,11.552,73.285,233.166,1.387e-4,-180,0.019,2.71,0.442
0.368,13.26,78.525,232.991,8.78e-4,-180,0.047,2.757,0.442
0.401,16.043,86.375,232.72,0.003,-180,0.09,2.821,0.442
0.451,20.652,97.981,232.296,0.009,-180,0.147,2.908,0.442
0.501,25.84,109.555,231.685,0.018,-180,0.185,2.988,0.442
0.551,31.607,121.146,232,0.027,-180,0.19,3.064,0.443
0.601,37.956,132.803,233.325,0.036,-180,0.147,3.14,0.443
0.651,44.889,144.526,234.623,0.041,-179.999,0.039,3.217,0.443
0.701,52.41,156.314,235.889,0.038,-179.998,0.152,3.295,0.444
