# L1420-15mph (Up to date)
# 824 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (75.4 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.364e-4,-0.027,-2.725,0,0,0,NaN,0.478
0.02,0.003,0.562,56.205,0,0,0,NaN,0.478
0.03,0.014,1.713,115.157,0,0,0,NaN,0.478
0.04,0.04,3.45,173.636,0,0,0,NaN,0.478
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.436,198.648,0,0,0,NaN,0.477
0.06,0.149,7.469,203.397,0,0,0,NaN,0.475
0.07,0.234,9.55,208.149,0,0,0,NaN,0.473
0.08,0.34,11.679,212.903,0,0,0,NaN,0.471
0.09,0.468,13.855,217.659,0,0,0,NaN,0.469
0.1,0.618,16.078,222.418,0,0,0,NaN,0.466
0.11,0.79,18.35,227.179,0,0,0,NaN,0.464
0.12,0.985,20.669,231.942,0,0,0,NaN,0.461
0.13,1.203,23.025,235.731,0,0,0,NaN,0.458
0.14,1.445,25.384,235.96,0,0,0,NaN,0.455
0.15,1.711,27.743,235.864,0,0,0,NaN,0.452
0.16,2,30.1,235.766,0,0,0,NaN,0.45
0.17,2.313,32.456,235.667,0,0,0,NaN,0.447
0.18,2.649,34.811,235.567,0,0,0,NaN,0.446
0.19,3.009,37.165,235.465,0,0,0,NaN,0.446
0.2,3.393,39.518,235.361,0,0,0,NaN,0.446
0.21,3.799,41.87,235.256,0,0,0,NaN,0.447
0.22,4.23,44.221,235.15,0,0,0,NaN,0.447
0.23,4.684,46.571,235.043,0,0,0,NaN,0.447
0.24,5.161,48.92,234.935,0,0,0,NaN,0.447
0.25,5.662,51.268,234.826,0,0,0,NaN,0.447
0.26,6.187,53.615,234.715,0,0,0,NaN,0.447
0.27,6.735,55.96,234.604,0,0,0,NaN,0.447
