0	1
0.05	-1
0.1	3
0.15	3
0.2	6
0.25	7
0.3	11
0.35	15
0.4	17
0.45	21
0.5	25
0.55	29
0.6	33
0.65	39
0.7	47
0.75	53
0.8	59
0.85	69
0.9	84
0.95	89
1	91
1.05	97
1.1	106
1.15	118
1.2	126
1.25	136
1.3	147
1.35	156
1.4	166
1.45	176
1.5	184
1.55	190
1.6	200
1.65	211
1.7	222
1.75	233
1.8	245
1.85	256
1.9	265
1.95	277
2	289
2.05	301
2.1	311
2.15	320
2.2	333
2.25	345
2.3	355
2.35	364
2.4	376
2.45	387
2.5	395
2.55	401
2.6	412
2.65	424
2.7	436
2.75	444
2.8	450
2.85	459
2.9	470
2.95	480
3	486
3.05	493
3.1	502
3.15	512
3.2	521
3.25	529
3.3	535
3.35	544
3.4	552
3.45	559
3.5	566
3.55	574
3.6	584
3.65	593
3.7	597
3.75	600
3.8	612
3.85	619
3.9	619
3.95	623
4	635
4.05	644
4.1	651
4.15	656
4.2	661
4.25	666
4.3	674
4.35	679
4.4	684
4.45	689
4.5	695
4.55	700
4.6	706
4.65	710
4.7	714
4.75	720
4.8	724
4.85	727
4.9	732
4.95	737
5	742
5.05	744
5.1	749
5.15	753
5.2	756
5.25	760
5.3	764
5.35	768
5.4	771
5.45	775
5.5	778
5.55	781
5.6	783
5.65	787
5.7	790
5.75	793
5.8	796
5.85	797
5.9	801
5.95	802
6	805
6.05	807
6.1	809
6.15	810
6.2	812
6.25	814
6.3	814
6.35	818
6.4	819
6.45	823
6.5	824
6.55	825
6.6	827
6.65	829
6.7	830
6.75	832
6.8	833
6.85	833
6.9	834
6.95	833
7	835
7.05	834
7.1	835
7.15	836
7.2	837
7.25	838
7.3	837
7.35	838
7.4	838
7.45	-4094
7.5	870
7.55	864
7.6	855
7.65	856
7.7	852
7.75	851
7.8	843
7.85	845
7.9	848
7.95	849
8	849
8.05	845
8.1	840
8.15	834
8.2	832
8.25	831
8.3	830
8.35	832
8.4	836
8.45	837
8.5	834
8.55	830
8.6	826
8.65	818
8.7	818
8.75	821
8.8	817
8.85	813
8.9	812
8.95	813
9	813
9.05	811
9.1	810
9.15	808
9.2	805
9.25	805
9.3	802
9.35	800
9.4	798
9.45	797
9.5	793
9.55	793
9.6	792
9.65	790
9.7	788
9.75	787
9.8	786
9.85	783
9.9	780
9.95	780
10	778
10.05	776
10.1	775
10.15	774
10.2	773
10.25	771
10.3	769
10.35	768
10.4	764
10.45	763
10.5	760
10.55	761
10.6	758
10.65	756
10.7	755
10.75	753
10.8	750
10.85	748
10.9	747
10.95	747
11	744
11.05	742
11.1	738
11.15	737
11.2	737
11.25	736
11.3	735
11.35	734
11.4	734
11.45	731
11.5	728
11.55	725
11.6	722
11.65	720
11.7	719
11.75	718
11.8	714
11.85	713
11.9	712
11.95	710
12	708
12.05	708
12.1	707
12.15	705
12.2	703
12.25	700
12.3	697
12.35	695
12.4	692
12.45	691
12.5	688
12.55	686
12.6	682
12.65	681
12.7	679
12.75	678
12.8	678
12.85	678
12.9	675
12.95	673
13	671
13.05	668
13.1	668
13.15	668
13.2	666
13.25	666
13.3	662
13.35	660
13.4	659
13.45	658
13.5	656
13.55	654
13.6	651
13.65	649
13.7	647
13.75	642
13.8	638
13.85	639
13.9	638
13.95	638
14	637
14.05	634
14.1	631
14.15	631
14.2	632
14.25	633
14.3	630
14.35	626
14.4	625
14.45	621
14.5	619
14.55	618
14.6	614
14.65	609
14.7	604
14.75	602
14.8	600
14.85	599
14.9	597
14.95	597
15	598
15.05	601
15.1	601
15.15	599
15.2	598
15.25	594
