# M1939-0 Flight Profile 10 mph (Up to date)
# 995 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (87.9 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.238,NaN
0.02,-3.585e-4,-0.072,NaN
0.03,4.737e-4,0.095,NaN
0.04,0.003,0.356,NaN
0.05,0.008,0.784,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.14,NaN
0.08,0.063,3.068,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.162,NaN
0.1,0.147,5.424,NaN
0.11,0.208,6.853,NaN
0.12,0.285,8.448,NaN
0.13,0.378,10.211,NaN
0.14,0.49,12.112,NaN
0.15,0.62,14.031,NaN
0.16,0.77,15.956,NaN
0.17,0.94,17.887,NaN
0.18,1.128,19.824,NaN
0.19,1.336,21.767,NaN
0.2,1.564,23.715,NaN
0.21,1.81,25.67,NaN
0.22,2.077,27.63,NaN
0.23,2.363,29.596,NaN
0.24,2.669,31.567,NaN
0.25,2.994,33.545,NaN
0.26,3.34,35.528,NaN
0.27,3.705,37.517,NaN
0.28,4.09,39.511,NaN
0.29,4.495,41.512,NaN
0.3,4.92,43.518,NaN
0.31,5.366,45.53,NaN
0.32,5.831,47.548,NaN
0.33,6.317,49.572,NaN
0.34,6.823,51.601,NaN
0.35,7.349,53.636,NaN
0.36,7.895,55.677,NaN
0.37,8.462,57.723,NaN
0.38,9.05,59.776,NaN
0.39,9.658,61.834,NaN
0.4,10.286,63.898,NaN
0.41,10.936,65.967,NaN
0.42,11.606,68.041,NaN
0.43,12.297,70.119,NaN
0.44,13.008,72.201,NaN
0.45,13.741,74.287,NaN
0.46,14.494,76.377,NaN
0.47,15.268,78.471,NaN
0.48,16.063,80.569,NaN
0.49,16.88,82.67,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.717,84.776,NaN
0.515,19.012,87.942,1.419
0.538,21.045,92.708,1.487
0.571,24.295,99.894,1.602
0.621,29.557,110.623,1.779
0.671,35.359,121.453,1.903
0.721,41.705,132.378,2.015
0.771,48.599,143.388,2.173
0.821,56.046,154.484,2.314
0.871,64.049,165.664,2.463
0.921,72.614,176.929,2.59
0.971,81.744,188.274,2.727
1.021,91.443,199.682,2.922
1.071,101.714,211.145,3.106
1.121,112.559,222.661,3.28
1.171,123.981,234.227,3.472
1.221,135.983,245.839,3.656
1.271,148.566,257.486,3.659
1.321,161.732,269.153,3.526
1.371,175.482,280.835,3.418
1.421,189.816,292.531,3.345
1.471,204.735,304.24,3.297
1.521,220.24,315.961,3.289
1.571,236.331,327.688,3.301
1.621,253.009,339.419,3.335
1.671,270.274,351.163,3.386
1.721,288.126,362.918,3.434
1.771,306.566,374.694,3.549
1.821,325.596,386.491,3.68
1.871,345.215,398.307,3.818
1.921,365.426,410.14,3.99
1.971,386.23,421.991,3.866
2.021,407.626,433.855,3.761
2.071,429.615,445.725,3.729
2.121,452.198,457.589,3.744
2.171,475.374,469.441,3.79
2.221,499.142,481.276,3.864
2.271,523.501,493.091,3.951
2.321,548.451,504.879,4.089
2.371,573.988,516.625,4.133
2.421,600.112,528.322,4.085
2.471,626.82,539.975,4.07
2.521,654.109,551.582,4.056
2.571,681.977,563.149,4.094
2.621,710.423,574.679,4.179
2.671,739.443,586.147,4.284
2.721,769.036,597.553,4.323
2.771,799.197,608.892,4.297
2.821,829.923,620.159,4.289
2.871,861.211,631.348,4.308
2.921,893.055,642.392,4.359
2.971,925.446,653.261,4.422
3.021,958.377,663.948,4.496
3.071,991.837,674.449,4.465
3.121,1025.817,684.768,4.477
3.171,1060.309,694.906,4.52
3.221,1095.304,704.856,4.568
3.271,1130.79,714.617,4.617
3.321,1166.761,724.191,4.625
3.371,1203.205,733.577,4.63
3.421,1240.114,742.771,4.671
3.471,1277.478,751.78,4.72
