# M1939-0 Flight Profile 15 mph (Up to date)
# 1016 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (89.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.238,NaN
0.02,-3.585e-4,-0.072,NaN
0.03,4.737e-4,0.095,NaN
0.04,0.003,0.356,NaN
0.05,0.008,0.784,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.14,NaN
0.08,0.063,3.068,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.162,NaN
0.1,0.147,5.424,NaN
0.11,0.208,6.853,NaN
0.12,0.285,8.448,NaN
0.13,0.378,10.211,NaN
0.14,0.49,12.112,NaN
0.15,0.62,14.031,NaN
0.16,0.77,15.957,NaN
0.17,0.94,17.888,NaN
0.18,1.128,19.825,NaN
0.19,1.336,21.767,NaN
0.2,1.564,23.716,NaN
0.21,1.81,25.67,NaN
0.22,2.077,27.63,NaN
0.23,2.363,29.596,NaN
0.24,2.669,31.568,NaN
0.25,2.994,33.545,NaN
0.26,3.34,35.528,NaN
0.27,3.705,37.517,NaN
0.28,4.09,39.512,NaN
0.29,4.495,41.513,NaN
0.3,4.921,43.519,NaN
0.31,5.366,45.531,NaN
0.32,5.831,47.549,NaN
0.33,6.317,49.572,NaN
0.34,6.823,51.602,NaN
0.35,7.349,53.637,NaN
0.36,7.895,55.677,NaN
0.37,8.462,57.724,NaN
0.38,9.05,59.776,NaN
0.39,9.658,61.834,NaN
0.4,10.287,63.898,NaN
0.41,10.936,65.967,NaN
0.42,11.606,68.041,NaN
0.43,12.297,70.118,NaN
0.44,13.008,72.2,NaN
0.45,13.741,74.285,NaN
0.46,14.494,76.375,NaN
0.47,15.268,78.468,NaN
0.48,16.063,80.565,NaN
0.49,16.88,82.667,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.717,84.772,NaN
0.515,19.012,87.937,0.997
0.538,21.044,92.701,1.087
0.571,24.294,99.885,1.212
0.621,29.556,110.609,1.389
0.671,35.357,121.436,1.563
0.721,41.702,132.357,1.711
0.771,48.595,143.363,1.86
0.821,56.04,154.456,2.022
0.871,64.043,165.634,2.185
0.921,72.606,176.896,2.398
0.971,81.734,188.24,2.652
1.021,91.431,199.645,2.853
1.071,101.7,211.104,2.936
1.121,112.543,222.615,3.111
1.171,123.963,234.173,3.425
1.221,135.961,245.772,3.664
1.271,148.541,257.402,3.591
1.321,161.702,269.04,3.347
1.371,175.445,280.685,3.238
1.421,189.771,292.337,3.228
1.471,204.679,304.002,3.242
1.521,220.171,315.675,3.207
1.571,236.247,327.344,3.159
1.621,252.906,339.012,3.201
1.671,270.148,350.697,3.285
1.721,287.976,362.398,3.357
1.771,306.389,374.126,3.486
1.821,325.389,385.884,3.675
1.871,344.978,397.674,3.899
1.921,365.157,409.492,3.905
1.971,385.927,421.331,3.745
2.021,407.29,433.189,3.613
2.071,429.246,445.055,3.561
2.121,451.795,456.915,3.607
2.171,474.937,468.757,3.687
2.221,498.671,480.581,3.754
2.271,522.995,492.375,3.889
2.321,547.907,504.127,4.088
2.371,573.406,515.814,4.067
2.421,599.487,527.423,3.938
2.471,626.147,538.959,3.854
2.516,650.671,549.295,3.828
2.555,671.907,558.066,3.887
2.596,695.093,567.477,3.976
2.645,723.078,578.608,4.11
2.695,752.293,589.969,4.243
2.745,782.074,601.296,4.295
2.795,812.421,612.586,4.169
2.845,843.332,623.824,4.116
2.886,868.993,632.94,4.112
2.922,892.37,641.041,4.151
2.961,917.068,649.389,4.232
3.008,948.129,659.583,4.376
3.058,981.372,670.117,4.477
3.108,1015.136,680.426,4.354
3.158,1049.41,690.522,4.34
3.2,1078.311,698.764,4.35
3.238,1105.5,706.313,4.386
3.279,1134.641,714.207,4.477
3.329,1170.588,723.698,4.652
3.379,1207.007,733.045,4.524
