# M1939-0 Flight Profile (Up to date)
# 992 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event EJECTION_CHARGE occurred at t=6.95 seconds
6.95,4386.934,849.075,5.395
6.993,4423.467,845.195,5.391
7.043,4465.615,840.731,5.387
7.093,4507.54,836.305,5.383
7.143,4549.246,831.914,5.378
7.193,4590.732,827.559,5.374
7.243,4632.002,823.24,5.37
7.293,4673.057,818.955,5.366
7.343,4713.898,814.704,5.362
7.393,4754.528,810.486,5.358
7.443,4794.947,806.301,5.354
7.493,4835.158,802.149,5.35
7.543,4875.163,798.028,5.346
7.593,4914.962,793.939,5.342
7.643,4954.557,789.881,5.339
7.693,4993.95,785.853,5.335
7.743,5033.143,781.854,5.332
7.793,5072.136,777.885,5.328
7.843,5110.932,773.945,5.325
7.893,5149.531,770.033,5.321
7.943,5187.936,766.149,5.318
7.993,5226.147,762.292,5.315
8.043,5264.165,758.463,5.311
8.093,5301.993,754.66,5.308
8.143,5339.632,750.884,5.305
8.193,5377.082,747.134,5.302
8.243,5414.346,743.409,5.299
8.293,5451.423,739.71,5.295
8.343,5488.317,736.035,5.292
8.393,5525.027,732.385,5.29
8.443,5561.556,728.759,5.287
8.493,5597.904,725.157,5.284
8.543,5634.072,721.578,5.281
8.593,5670.062,718.022,5.278
8.643,5705.875,714.49,5.275
8.693,5741.511,710.979,5.273
8.743,5776.973,707.491,5.27
8.793,5812.261,704.025,5.267
8.843,5847.376,700.581,5.265
8.893,5882.319,697.157,5.262
8.943,5917.092,693.755,5.26
8.993,5951.695,690.373,5.257
9.043,5986.13,687.012,5.254
9.093,6020.397,683.671,5.252
9.143,6054.497,680.35,5.25
9.193,6088.432,677.049,5.248
9.243,6122.202,673.767,5.245
9.293,6155.809,670.504,5.243
9.343,6189.253,667.26,5.24
9.393,6222.535,664.034,5.238
9.443,6255.657,660.827,5.236
9.493,6288.618,657.638,5.234
9.543,6321.421,654.467,5.232
