# M1939-0 Flight Profile 5 degree (Up to date)
# 986 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.5 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event EJECTION_CHARGE occurred at t=6.95 seconds
6.95,4360.592,842.998,5.396
6.993,4396.863,839.131,5.392
7.043,4438.708,834.683,5.387
7.093,4480.331,830.271,5.383
7.143,4521.735,825.895,5.379
7.193,4562.921,821.554,5.375
7.243,4603.891,817.249,5.37
7.293,4644.647,812.977,5.366
7.343,4685.19,808.74,5.362
7.393,4725.521,804.535,5.358
7.443,4765.644,800.364,5.354
7.493,4805.558,796.225,5.35
7.543,4845.267,792.117,5.347
7.593,4884.771,788.041,5.343
7.643,4924.071,783.995,5.339
7.693,4963.171,779.979,5.336
7.743,5002.07,775.993,5.332
7.793,5040.77,772.036,5.329
7.843,5079.274,768.108,5.325
7.893,5117.582,764.208,5.322
7.943,5155.695,760.336,5.318
7.993,5193.616,756.491,5.315
8.043,5231.345,752.673,5.312
8.093,5268.883,748.882,5.309
8.143,5306.233,745.117,5.305
8.193,5343.396,741.377,5.302
8.243,5380.371,737.664,5.299
8.293,5417.162,733.975,5.296
8.343,5453.769,730.311,5.293
8.393,5490.194,726.672,5.29
8.443,5526.437,723.056,5.287
8.493,5562.5,719.464,5.284
8.543,5598.384,715.896,5.282
8.593,5634.09,712.35,5.279
8.643,5669.619,708.827,5.276
8.693,5704.973,705.327,5.273
8.743,5740.152,701.848,5.271
8.793,5775.158,698.392,5.268
8.843,5809.992,694.956,5.265
8.893,5844.654,691.543,5.263
8.943,5879.146,688.149,5.26
8.993,5913.469,684.777,5.258
9.043,5947.624,681.425,5.255
9.093,5981.612,678.093,5.253
9.143,6015.434,674.78,5.251
9.193,6049.091,671.487,5.248
9.243,6082.583,668.214,5.246
9.293,6115.912,664.959,5.244
9.343,6149.079,661.723,5.241
9.393,6182.085,658.506,5.239
9.443,6214.93,655.307,5.237
9.493,6247.616,652.126,5.234
9.543,6280.143,648.963,5.232
